book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
m\1836_marryat-mr-midshipman-easy,74,"['tarragona', 'dr', 'moor', 'shakespeare', 'toulon', 'scipio', 'jolliffe', 'obrien', 'james', 'william', 'admiral', 'robert', 'mesty', 'catte', 'caesar', 'governor', 'john', 'abraham', 'biggs', 'frankish', 'harpy', 'mephistopheles', 'atkins', 'gozo', 'gad', 'allah', 'pedro', 'nick', 'mahon', 'don', 'oconnor', 'johns', 'jew', 'pompey', 'ned', 'valparaiso', 'billy', 'jacob', 'don martin', 'mr hawkins', 'don mathias', 'mr easthupp', 'hereupon jack', 'mr gossett', 'sir thomas', 'mr vigors', 'jack easy', 'friar thomaso', 'mr jones', 'mr heasy', 'captain vilson', 'mr hicks', 'dr middleton', 'mr pottyfar', 'don philip', 'mr asper', 'captain tartar', 'signor easy', 'john easy', 'massy easy', 'don rebiera', 'captain hogg', 'doctor middleton', 'don silvio', 'osman ali', 'father ignatio', 'lingua franca', 'master johnny', 'captain sawbridge', 'whereupon jack', 'abdel faza', 'mr oxbelly', 'mr bonnycastle', 'captain wilson']",26,"['ashantee', 'boadicea', 'latona', 'aurora', 'sarah', 'donna', 'minorca', 'susan', 'rosas', 'carmen', 'valette', 'mary', 'azar', 'missy agnes', 'massa yolliffe', 'valette harbour', 'miss hicks', 'donna clara', 'mrs oxbelly', 'donna agnes', 'miss julia', 'massa gascoigne', 'mary ann', 'massa easy', 'mrs easy', 'donna rebiera']",2,"['tallboys', 'smallsole']",male
m\1841_marryat-masterman-ready,22,"['remus', 'pacific', 'sanders', 'dutchman', 'romulus', 'hottentots', 'cape', 'bombay', 'billy', 'albert', 'old ready', 'mr mackintosh', 'robinson crusoe', 'captain osborn', 'table mountain', 'jack romer', 'masterman ready', 'master tommy', 'mr seagrave', 'master william', 'master willy', 'mr masterman']",9,"['sydney', 'missy', 'juno', 'nanny', 'vixen', 'caroline', 'massa tommy', 'graaff reinet', 'mrs seagrave']",2,"['hottentot', 'gorraguas']",male
m\1844_marryat-the-settlers-in-canada,26,"['martin', 'oscar', 'frenchman', 'malachi', 'henry', 'graves', 'quebec', 'harry', 'john', 'cedar swamp', 'mr harvey', 'martin super', 'lower canada', 'london merchant', 'mr farquhar', 'captain wilson', 'upper canada', 'mr campbell', 'angry snake', 'mr douglas campbell', 'mr percival', 'mr alfred', 'captain sinclair', 'mr emmerson', 'mr bates', 'captain lumley']",9,"['emily', 'strawberry', 'miss paterson', 'miss mary', 'miss percival', 'emma percival', 'miss emma', 'martha jackson', 'mary percival']",0,[],male
m\1845_dickens-the-cricket-on-the-hearth-a-fairy-tale-of-home,12,"['halloa', 'stranger', 'gruff', 'edward', 'caleb', 'haymaker', 'boxer', 'john', 'pic nic', 'mr tackleton', 'john peerybingle', 'caleb plummer']",11,"['cricket', 'bertha', 'tilly', 'carrier', 'ham pie', 'tilly slowboy', 'poor idiot', 'blind girl', 'may fielding', 'miss slowboy', 'blind daughter']",0,[],male
m\1847_marryat-the-children-of-the-new-forest,33,"['oswald', 'grenville', 'jacob', 'jason', 'ben', 'ed', 'lambert', 'smoker', 'conde', 'pablo', 'turenne', 'sampson', 'benjamin', 'cromwell', 'cavalier', 'james southwold', 'master andrew', 'duke hamilton', 'major chaloner', 'jacob armitage', 'sir ashley cooper', 'edward armitage', 'mr edward', 'mr langton', 'edward beverley', 'king charles', 'mr heatherstone', 'mr forester', 'white billy', 'master humphrey', 'james corbould', 'prince rupert', 'oswald partridge']",16,"['clara', 'phoebe', 'martha', 'agatha', 'patience', 'miss judith villiers', 'miss villiers', 'clara ratcliffe', 'ashley cooper', 'massa edward', 'colonel beverley', 'patience heatherstone', 'miss judith', 'massa humphrey', 'missy alice', 'missy edith']",4,"['hamburgh', 'arnwood', 'roundhead', 'holdfast']",male
m\1848_marryat-the-little-savage,19,"['abraham', 'moses', 'christian', 'pharaoh', 'joseph', 'adam', 'nero', 'jim', 'frank', 'jackass', 'heinrich', 'john', 'dr brightwell', 'heinrich reichardt', 'mr evelyn', 'frank henniker', 'john gough', 'edward jackson', 'captain james']",5,"['divine', 'hooloo', 'mrs reichardt', 'miss evelyn', 'north america']",0,[],male
m\1851_ruskin-the-king-of-the-golden-river,4,"['hans', 'schwartz', 'gluck', 'treasure valley']",0,[],0,[],male
m\1855_kingsley-westward-ho,234,"['edmund', 'christian', 'elijah', 'ariosto', 'marlowe', 'pizarro', 'babylon', 'valdez', 'jesuit', 'gravelines', 'plato', 'pelican', 'diego', 'tavy', 'samson', 'daniel', 'thames', 'genoese', 'enoch', 'cortez', 'humboldt', 'david', 'manoa', 'scots', 'abdallah', 'george', 'barlow', 'rheims', 'adelantado', 'arctic', 'papist', 'frobisher', 'hurtado', 'saul', 'harvey', 'thomas', 'sidney', 'antichrist', 'dons', 'dick', 'eros', 'martin', 'englishmen', 'burrough', 'ormond', 'alexander', 'christendom', 'baal', 'roman', 'alvarado', 'amazons', 'mohammed', 'devonshire', 'ballard', 'jew', 'edward', 'dunkirk', 'almagro', 'squirrel', 'cartagena', 'charles', 'wapping', 'tritons', 'nombre', 'adam', 'james', 'noah', 'cabot', 'norman', 'hercules', 'oro', 'atlantic', 'homer', 'anthony', 'zouch', 'levant', 'bermudas', 'annery', 'stow', 'milan', 'tudor', 'romanist', 'michael', 'peter', 'eglon', 'dartmoor', 'cooky', 'morte', 'stuarts', 'munster', 'leon', 'antres', 'triton', 'toledo', 'norse', 'naaman', 'lewis', 'lundy', 'jonah', 'joshua', 'firth', 'luther', 'scripture', 'hillo', 'padua', 'don', 'shamus', 'recalde', 'cupid', 'salamis', 'dios', 'hatton', 'john braund', 'richard hawkins', 'mr john brimblecombe', 'captain john hawkins', 'sir richard', 'mr oxenham', 'san benito', 'captain amyas leigh', 'don pedro', 'king solomon', 'mr hayes', 'mr will', 'nicholas saunders', 'father parsons', 'old salterne', 'francis leigh', 'mr andrew barker', 'sir francis drake', 'sir bevil', 'mr edward dyer', 'mr coffin', 'whereon amyas', 'lord high admiral', 'don francisco', 'sir urian', 'mr winter', 'john squire', 'ruiz moschera', 'mr eustace', 'mr campian', 'captain leigh', 'john brimblecombe', 'lord grey', 'mr drake', 'mr adrian', 'will cary', 'san domingo', 'westward ho', 'martin cockrem', 'anthony jenkinson', 'de soto', 'sir vindex', 'lopez vaz', 'san philip', 'sir richard grenville', 'king henry', 'captain raleigh', 'george fenner', 'will parracombe', 'master frank', 'fray gerundio', 'lord henry seymour', 'mr frank leigh', 'mr trudgeon', 'william penberthy', 'mr evan morgans', 'tom nash', 'whereon frank', 'william parracombe', 'captain hawkins', 'parson jack', 'harty point', 'don guzman maria magdalena sotomayor', 'adrian gilbert', 'colin clout', 'don sebastian', 'don francisco xararte', 'amyas preston', 'salvation yeo', 'san josepho', 'william salterne', 'captain drake', 'don guzman', 'john davis', 'lord howard', 'senor don guzman', 'francis drake', 'dick grenville', 'james desmond', 'cardinal allen', 'sir john chichester', 'earl ordulf', 'captain will', 'mr thomas leigh', 'humphrey gilbert', 'sir edward osborne', 'deus venter', 'gallantry bower', 'sir george carew', 'william cary', 'father neptune', 'cape codera', 'john oxenham', 'mr spenser', 'father campian', 'mr morgan evans', 'mr william', 'don ferdinando', 'king arthur', 'evan morgans', 'simon evans', 'scythian tomyris', 'captain oxenham', 'john hawkins', 'richard grenville', 'sir francis', 'robert drew', 'frank leigh', 'sir humphrey', 'eustace leigh', 'jack brimblecombe', 'earl haldan', 'mr frank', 'vindex brimblecombe', 'amyas leigh', 'don guzman maria magdalena', 'sir walter raleigh', 'great armada', 'morgan evans', 'michael heard', 'captain john', 'sir john']",62,"['margarita', 'arcadia', 'ham', 'carib', 'andes', 'atty', 'gloriana', 'doughty', 'taw', 'desdemona', 'medina', 'tamar', 'losada', 'eliza', 'mangora', 'sta', 'oriana', 'lilly', 'geneva', 'diana', 'silla', 'rose', 'malefica', 'lucy', 'siripa', 'davils', 'mary', 'parma', 'venus', 'lara', 'catiline', 'maranon', 'kerry', 'lima', 'languet', 'cornelia', 'philistine', 'amazon', 'tita', 'aymas', 'mistress salterne', 'agnus deis', 'guzman maria magdalena sotomayor', 'rose salterne', 'doctor dee', 'lucy passmore', 'santa fe', 'golden city', 'mary ambree', 'lady miranda', 'queen elizabeth', 'santa marta', 'lady grenville', 'elizabethan ballad', 'ship tavern', 'la guayra', 'lady bath', 'faerie queene', 'medina sidonia', 'virgin mother', 'lady hawkins', 'santa cruz']",40,"['spaniards', 'fortescues', 'cimaroons', 'omaguas', 'lapithae', 'stukely', 'orkneys', 'gayferos', 'walsingham', 'guayquerias', 'naiads', 'flushinger', 'smerwick', 'colbrand', 'arcite', 'stukelys', 'fortescue', 'baltinglas', 'ayacanora', 'clovelly', 'jesuits', 'britons', 'smithfield', 'ockment', 'lutheran', 'monoculus', 'romanists', 'catholics', 'amalivaca', 'ebsworthy', 'budaeus', 'guahibas', 'haccombe', 'euphues', 'popery', 'atahuallpa', 'groyne', 'bursdon', 'welcombe', 'kilkhampton']",male
m\1856_ballantyne-the-young-fur-traders,51,"['peter', 'joseph', 'scotchman', 'francois', 'baptiste', 'hugh', 'tim', 'hollo', 'noah', 'mike', 'antoine', 'tom', 'anderson', 'jacques', 'pierre', 'charley', 'bruin', 'hudson', 'george', 'peterkin', 'creator', 'hush', 'louis', 'stoney creek', 'frank kennedy', 'mister harry', 'charley kennedy', 'mr addison', 'robinson crusoe', 'rocky mountains', 'harry somerville', 'peter mactavish', 'old mr kennedy', 'york fort', 'mr charles', 'mr whyte', 'pastor conway', 'charles kennedy', 'jacques caradoc', 'mr grant', 'mike brady', 'mr hamilton', 'louis blanc', 'louis peltier', 'hugh mathison', 'fort garry', 'tom whyte', 'mr wilson', 'mr rogan', 'lower fort garry', 'mr seaforth']",9,"['hammy', 'annette', 'sieux', 'poor hamilton', 'miss kennedy', 'miss kate', 'kate kennedy', 'poor kate', 'miss cookumwell']",6,"['orkneyman', 'redfeather', 'wabisca', 'knisteneux', 'misconna', 'chipewyan']",male
m\1857_ballantyne-the-coral-island-a-tale-of-the-pacific-ocean,15,"['ralph', 'pacific', 'mango', 'peterkin', 'creator', 'hercules', 'gospel', 'jack', 'christianity', 'saviour jesus christ', 'jack martin', 'long tom', 'bloody bill', 'cape horn', 'ralph rover']",5,"['romata', 'rarotonga', 'mahine', 'avatea', 'diamond cave']",2,"['wesleyans', 'tararo']",male
