book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1883_molesworth-the-boys-and-i-a-childs-story-for-children,4,"['horace', 'partridge', 'pierson', 'uncle geoff']",5,"['marie', 'audrey', 'racey', 'miss doldy', 'miss goldy']",0,[],female
1905_meade-a-plain-girl,17,"['squibs', 'fray', 'heinrich', 'jim', 'squire', 'sophocles', 'wallis', 'salviati', 'squire aldyce', 'fraulein schumacher', 'von marlo', 'master alex', 'twopenny tube', 'master charley', 'uncle charles', 'professor grant', 'mademoiselle wrex']",39,"['agnes', 'hermione', 'hannah', 'knight', 'gussie', 'easter', 'rita', 'baroness', 'dearie', 'justine', 'fhemie', 'augusta', 'calais', 'nancy', 'rosalind', 'comtesse', 'lilian st leger', 'mrs grant', 'baroness elfreda', 'mrs moore', 'rita swan', 'augusta moore', 'lady lilian', 'lady anne churton', 'miss grace', 'hermione aldyce', 'miss donnithorne', 'miss grant', 'comtesse riki', 'rachel grant', 'miss rachel', 'agnes swan', 'miss grace donnithorne', 'grace donnithorne', 'miss dumps', 'lady anne', 'rosalind mayhew', 'mrs frazer', 'bella vista']",2,"['gablestein', 'holgarten']",female
1890_meade-the-honorable-miss-a-story-of.an-old-fashioned-town,25,"['hunt', 'rector', 'albert', 'jove', 'davis', 'sam', 'gusty', 'peter', 'loftie', 'bayard', 'perry', 'mab', 'gus', 'morris', 'augustus', 'albert bell', 'mr hart', 'rosendale manor', 'mr jones', 'major bertram', 'mr ingram', 'matty bell', 'loftus bertram', 'come kitty', 'captain bertram']",43,"['jane', 'mabel', 'alice', 'kate', 'hannah', 'thursdays', 'polly', 'jessie', 'martha', 'nina', 'eureka', 'susan', 'sophy', 'trixie', 'lucy', 'tester', 'clara', 'mabel bertram', 'josephine hart', 'miss daisy', 'miss peters', 'miss meadowsweet', 'lady georgiana', 'miss beatrice', 'miss maria', 'miss josephine', 'martha butler', 'alice bell', 'catherine bertram', 'miss matty', 'mary anne', 'miss catherine', 'lady verney', 'tilly bell', 'miss catherine bertram', 'beatrice meadowsweet', 'miss bells', 'polly jenkins', 'mrs meadowsweet', 'daisy jenkins', 'miss bee', 'sophy bell', 'miss matty bell']",9,"['beatricite', 'middlemass', 'jenkinses', 'rectory', 'hartites', 'rosendale', 'northbury', 'benjafield', 'beatricites']",female
1856_yonge-the-daisy-chain-or-aspirations,113,"['claude', 'hoxton', 'harvey', 'jack', 'eton', 'tommy', 'dick', 'francois', 'orion', 'toby', 'fidele', 'roman', 'ned', 'sam', 'rollo', 'george', 'gospel', 'tom', 'charles', 'william', 'sophocles', 'forder', 'halls', 'grey', 'noah', 'aubrey', 'horace', 'ashe', 'bruce', 'posthumus', 'alan', 'shakespeare', 'whitford', 'alexander', 'caractacus', 'colin', 'scot', 'ulysses', 'owen', 'apollo', 'euripides', 'hector', 'wight', 'atalantis', 'miltiades', 'james', 'smith', 'dogberry', 'decius', 'jem', 'claudius', 'undine', 'ritchie', 'edward', 'david', 'sir henry walkinghame', 'norman may', 'sir matthew fleet', 'harry may', 'did margaret', 'mr holloway', 'reverend sir', 'mr ballhatchet', 'jem jennings', 'mr charles wilmot', 'edward anderson', 'nicholas randall', 'george larkins', 'john taylor', 'mr ernescliffe', 'vana gloria', 'mr harrison', 'mr tomkins', 'mr ward', 'decius mus', 'mr bramshaw', 'alan ernescliffe', 'lord cosham', 'master thomas', 'sir matthew', 'mr hazlewood', 'charles cheviot', 'norman ethel', 'mr richard', 'mr wllmot', 'mr nicolson', 'sam axworthy', 'master harry', 'mr norman', 'norman norman', 'harvey anderson', 'uncle arnott', 'mr wilmot', 'mr esdaile', 'wild sports', 'captain gordon', 'mr ogilvie', 'mr everard', 'mr edward wilmot', 'willie brown', 'george herbert', 'sir henry', 'bishop whichcote', 'hector ernescliffe', 'mr ramsden', 'ned anderson', 'tom may', 'aubrey spencer', 'mr richard may', 'dick may', 'will adams', 'norman ogilvie', 'mr larkins']",71,"['maggie', 'jane', 'jenny', 'blanche', 'mackenzie', 'nipen', 'fanny', 'peg', 'una', 'louisa', 'polly', 'marjorie', 'marie', 'mat', 'easter', 'gertrude', 'margarita', 'frenchwoman', 'susan', 'coralie', 'agatha', 'lucy', 'cherry', 'daisy', 'alcestis', 'anne', 'jill', 'etheldred', 'flora ethel', 'lucy taylor', 'misses anderson', 'mrs ledwich', 'poor may', 'miss mary', 'aunt flora', 'miss flora', 'gertrude margaret', 'miss winter', 'poor harry', 'miss walkingham', 'little meta', 'miss boulder', 'lyra innocentium', 'louisa anderson', 'market stoneborough', 'poor norman', 'miss rich', 'miss walkinghame', 'mary hale', 'miss anderson', 'flora may', 'jane taylor', 'etheldred may', 'jane sparks', 'miss bracy', 'fanny anderson', 'poor mary', 'ethel norman', 'lady leonora', 'cherry elwood', 'margaret norman', 'poor ethel', 'leonora langdale', 'lady leonora langdale', 'daisy chain', 'thy name', 'miss may', 'miss ethel', 'miss margaret', 'lady glenbracken', 'venus victrix']",17,"['settlesham', 'fordholm', 'unready', 'ballompre', 'abbotstoke', 'bellairs', 'britons', 'alcaics', 'cocksmoor', 'maplewood', 'groveswood', 'drydale', 'flodden', 'perkinson', 'hoxtons', 'abbotstoke grange', 'stoneborough minster']",female
1876_molesworth-carrots-just-a-little-boy,7,"['gip', 'mott', 'cecil', 'pau', 'jack', 'master carrots', 'captain desart']",6,"['louise', 'floss', 'bessie', 'sybil', 'dot', 'miss flossie']",1,['sandyshore'],female
1912_nesbit-the-magic-world,11,"['strong', 'james', 'maurice', 'kenneth', 'magician', 'ken', 'fortunatus', 'taykin', 'lord hugh', 'white witch', 'mr basingstoke']",4,"['aura', 'alison', 'jane', 'belinda']",0,[],female
1883_ewing-marys-meadow-and-other-tales-of-fields-and-flowers,24,"['james', 'raphael', 'dos', 'squire', 'arthur', 'solomon', 'christopher', 'chambers', 'francis', 'michael', 'harry', 'chris', 'hobbs', 'parkinson', 'john', 'alphonse karr', 'weeding woman', 'foolish cowslip', 'peter paul', 'brother benedict', 'uncle jacob', 'mr warner', 'jack frost', 'godfather time']",19,"['adela', 'bessy', 'sunflowers', 'leena', 'jael', 'sunflower', 'mary', 'anna', 'crane', 'miss margery', 'vrow schmidt', 'little mother', 'miss grace', 'lady catherine', 'mary meadow', 'honest root', 'earthly paradise', 'queen anne', 'aunt catherine']",3,"['nonsuch', 'herbarist', 'honestest root']",female
1861_yonge-the-stokesley-secret,28,"['samuel', 'sam', 'george', 'grosvenor', 'euclid', 'david', 'ben', 'georgy', 'harry', 'osmond', 'davy', 'toby', 'johnnie', 'martin', 'ramilies', 'master davie', 'sam henry', 'uncle john', 'mr carey', 'mr merrifield', 'richard ii', 'farmer grice', 'george bowles', 'mr greville', 'osmond greville', 'toby fillpot', 'captain merrifield', 'colonel carey']",31,"['georgie', 'thy', 'hannah', 'rhoda', 'sarah', 'nurse', 'dora', 'sukey', 'mildred', 'calliope', 'sally', 'sue', 'christabel', 'annie', 'bessie', 'anne', 'bet', 'elizabeth', 'betty', 'susie', 'mary', 'susan', 'bess', 'nurse freeman', 'miss fosbrook', 'miss croaker', 'aunt alice', 'poor hal', 'hannah higgins', 'miss merrifield', 'christabel angela']",3,"['grandmamma', 'munsterthal', 'purday']",female
1908_burnett-the-good-wolf,6,"['tim', 'ark', 'barty', 'noah', 'good wolf', 'mr wolf']",1,['snow feast'],0,[],female
1857_browne-grannys-wonderful-chair,10,"['pounce', 'spy', 'scrub', 'spare', 'screw', 'prince wisewit', 'king winwealth', 'wary will', 'reckoning robin', 'squire trusty']",8,"['snowflower', 'childe charity', 'princess greedalind', 'queen wantall', 'dame frostyface', 'faith feignless', 'lady greensleeves', 'dame civil']",7,"['tinseltoes', 'hardhands', 'loveleaves', 'buttertongue', 'drypenny', 'woodwender', 'fairfeather']",female
