book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex

1836_marryat-mr-midshipman-easy,76,"['tarragona', 'atkins', 'allah', 'pedro', 'catte', 'jew', 'billy', 'mesty', 'caesar', 'toulon', 'don', 'frankish', 'admiral', 'dr', 'pompey', 'obrien', 'mephistopheles', 'ned', 'shakespeare', 'oconnor', 'abraham', 'moor', 'james', 'gozo', 'valparaiso', 'biggs', 'harpy', 'robert', 'william', 'jolliffe', 'john', 'governor', 'gad', 'scipio', 'mahon', 'jacob', 'johns', 'nick', 'master johnny', 'master easy', 'mr gossett', 'osman ali', 'mr oxbelly', 'hereupon jack', 'mr asper', 'mr vigors', 'captain tartar', 'father ignatio', 'master jack easy', 'abdel faza', 'lingua franca', 'john easy', 'jack easy', 'mr easthupp', 'don rebiera', 'mr jones', 'mr hawkins', 'captain wilson', 'don silvio', 'sir thomas', 'captain sawbridge', 'mr hicks', 'captain vilson', 'friar thomaso', 'massy easy', 'doctor middleton', 'don martin', 'dr middleton', 'mr pottyfar', 'mr heasy', 'don philip', 'signor easy', 'mr bonnycastle', 'captain hogg', 'don mathias', 'whereupon jack']",26,"['valette', 'boadicea', 'aurora', 'donna', 'azar', 'minorca', 'ashantee', 'sarah', 'mary', 'rosas', 'carmen', 'latona', 'susan', 'donna rebiera', 'donna clara', 'miss hicks', 'massa easy', 'mary ann', 'missy agnes', 'miss julia', 'donna agnes', 'mrs oxbelly', 'mrs easy', 'massa yolliffe', 'valette harbour', 'massa gascoigne']",2,"['smallsole', 'tallboys']",male

1841_marryat-masterman-ready,22,"['romulus', 'remus', 'sanders', 'dutchman', 'hottentots', 'cape', 'pacific', 'billy', 'albert', 'bombay', 'master tommy', 'robinson crusoe', 'master willy', 'captain osborn', 'master william', 'table mountain', 'mr mackintosh', 'old ready', 'jack romer', 'masterman ready', 'mr masterman', 'mr seagrave']",9,"['sydney', 'juno', 'nanny', 'caroline', 'missy', 'vixen', 'graaff reinet', 'massa tommy', 'mrs seagrave']",2,"['gorraguas', 'hottentot']",male

1844_marryat-the-settlers-in-canada,26,"['john', 'harry', 'malachi', 'martin', 'oscar', 'graves', 'quebec', 'henry', 'frenchman', 'mr bates', 'lower canada', 'mr douglas campbell', 'captain lumley', 'mr emmerson', 'mr percival', 'upper canada', 'london merchant', 'captain wilson', 'mr harvey', 'angry snake', 'cedar swamp', 'martin super', 'mr alfred', 'mr campbell', 'captain sinclair', 'mr farquhar']",9,"['emily', 'strawberry', 'miss percival', 'miss mary', 'emma percival', 'martha jackson', 'miss paterson', 'miss emma', 'mary percival']",0,[],male

1845_dickens-the-cricket-on-the-hearth-a-fairy-tale-of-home,12,"['john', 'edward', 'stranger', 'gruff', 'halloa', 'boxer', 'caleb', 'haymaker', 'john peerybingle', 'pic nic', 'mr tackleton', 'caleb plummer']",11,"['bertha', 'tilly', 'cricket', 'carrier', 'poor idiot', 'blind daughter', 'may fielding', 'ham pie', 'blind girl', 'tilly slowboy', 'miss slowboy']",0,[],male

1847_marryat-the-children-of-the-new-forest,34,"['sampson', 'ed', 'jason', 'cavalier', 'cromwell', 'oswald', 'ben', 'smoker', 'lambert', 'pablo', 'jacob', 'turenne', 'benjamin', 'grenville', 'conde', 'jacob armitage', 'james corbould', 'mr edward', 'master andrew', 'mr heatherstone', 'edward beverley', 'mr langton', 'mr chaloner', 'prince rupert', 'king charles', 'mr forester', 'oswald partridge', 'sir ashley cooper', 'master humphrey', 'major chaloner', 'duke hamilton', 'white billy', 'james southwold', 'edward armitage']",16,"['clara', 'patience', 'martha', 'phoebe', 'agatha', 'massa humphrey', 'patience heatherstone', 'colonel beverley', 'ashley cooper', 'miss judith villiers', 'missy alice', 'clara ratcliffe', 'missy edith', 'miss villiers', 'massa edward', 'miss judith']",4,"['roundhead', 'holdfast', 'hamburgh', 'arnwood']",male

1848_marryat-the-little-savage,19,"['john', 'nero', 'frank', 'adam', 'christian', 'moses', 'abraham', 'pharaoh', 'jackass', 'joseph', 'jim', 'heinrich', 'edward jackson', 'dr brightwell', 'captain james', 'frank henniker', 'heinrich reichardt', 'mr evelyn', 'john gough']",5,"['hooloo', 'divine', 'miss evelyn', 'mrs reichardt', 'north america']",0,[],male

1851_ruskin-the-king-of-the-golden-river,4,"['hans', 'schwartz', 'gluck', 'treasure valley']",0,[],0,[],male

1855_kingsley-westward-ho,242,"['humboldt', 'squirrel', 'jew', 'charles', 'baal', 'triton', 'amazons', 'jesuit', 'anthony', 'oro', 'milan', 'luther', 'dartmoor', 'martin', 'antichrist', 'plato', 'morte', 'peter', 'cabot', 'norman', 'cortez', 'thames', 'munster', 'frobisher', 'scripture', 'adelantado', 'marlowe', 'tavy', 'bermudas', 'recalde', 'hillo', 'gravelines', 'sidney', 'naaman', 'leon', 'tritons', 'michael', 'lewis', 'manoa', 'thomas', 'nombre', 'christian', 'cupid', 'atlantic', 'antres', 'edward', 'joshua', 'lundy', 'norse', 'harvey', 'shamus', 'wapping', 'jonah', 'papist', 'arctic', 'hatton', 'babylon', 'stow', 'annery', 'diego', 'stuarts', 'roman', 'enoch', 'pizarro', 'firth', 'genoese', 'cooky', 'devonshire', 'barlow', 'alexander', 'levant', 'toledo', 'dick', 'edmund', 'dios', 'englishmen', 'hurtado', 'daniel', 'george', 'saul', 'eros', 'scots', 'rheims', 'abdallah', 'padua', 'ballard', 'eglon', 'adam', 'zouch', 'almagro', 'don', 'elijah', 'burrough', 'david', 'homer', 'james', 'tudor', 'dunkirk', 'hercules', 'pelican', 'valdez', 'romanist', 'dons', 'mohammed', 'noah', 'cartagena', 'christendom', 'ormond', 'ariosto', 'samson', 'alvarado', 'salamis', 'cape codera', 'earl haldan', 'mr will cary', 'simon evans', 'deus venter', 'don pedro', 'john davis', 'lord grey', 'morgan evans', 'mr oxenham', 'george fenner', 'dick grenville', 'robert drew', 'harty point', 'francis drake', 'will parracombe', 'mr hayes', 'parson jack', 'king henry', 'mr thomas leigh', 'sir richard grenville', 'francis leigh', 'sir richard', 'adrian gilbert', 'eustace leigh', 'anthony jenkinson', 'senor don guzman', 'mr brimblecombe', 'mr salterne', 'amyas preston', 'scythian tomyris', 'sir humphrey', 'sir walter raleigh', 'mr john brimblecombe', 'jack brimblecombe', 'sir john', 'mr cary', 'earl ordulf', 'mr winter', 'mr william cary', 'john oxenham', 'captain will', 'de soto', 'captain drake', 'fray gerundio', 'king solomon', 'sir john chichester', 'mr adrian', 'master eustace', 'ruiz moschera', 'captain leigh', 'mr amyas', 'san domingo', 'mr eustace', 'mr spenser', 'father parsons', 'john brimblecombe', 'lord henry seymour', 'san benito', 'mr drake', 'lord high admiral', 'mr frank', 'will cary', 'sir edward osborne', 'richard grenville', 'john braund', 'sir john hawkins', 'great armada', 'amyas leigh', 'sir bevil', 'cardinal allen', 'captain raleigh', 'mr morgan evans', 'sir francis', 'mr campian', 'vindex brimblecombe', 'whereon frank', 'nicholas saunders', 'martin cockrem', 'william cary', 'evan morgans', 'john squire', 'mr coffin', 'captain hawkins', 'mr william', 'william salterne', 'san josepho', 'mr will', 'old salterne', 'mr evan morgans', 'father campian', 'don francisco', 'don guzman maria magdalena', 'james desmond', 'don guzman maria magdalena sotomayor', 'gallantry bower', 'sir vindex', 'salvation yeo', 'whereon amyas', 'captain oxenham', 'westward ho', 'lopez vaz', 'sir george carew', 'michael heard', 'william parracombe', 'don ferdinando', 'frank leigh', 'john hawkins', 'don francisco xararte', 'humphrey gilbert', 'mr edward dyer', 'tom nash', 'don guzman', 'king arthur', 'don sebastian', 'san philip', 'sir francis drake', 'captain amyas leigh', 'mr frank leigh', 'mr trudgeon', 'sir urian', 'father neptune', 'master frank', 'lord howard', 'captain john hawkins', 'richard hawkins', 'william penberthy', 'mr andrew barker', 'captain john', 'colin clout']",62,"['languet', 'lilly', 'ham', 'oriana', 'malefica', 'mary', 'eliza', 'andes', 'mangora', 'doughty', 'lara', 'catiline', 'atty', 'venus', 'diana', 'aymas', 'davils', 'arcadia', 'margarita', 'parma', 'lima', 'kerry', 'gloriana', 'silla', 'losada', 'desdemona', 'rose', 'carib', 'amazon', 'maranon', 'sta', 'tamar', 'philistine', 'siripa', 'cornelia', 'tita', 'taw', 'medina', 'geneva', 'lucy', 'ship tavern', 'medina sidonia', 'rose salterne', 'lucy passmore', 'doctor dee', 'guzman maria magdalena sotomayor', 'santa marta', 'lady grenville', 'santa cruz', 'faerie queene', 'virgin mother', 'mary ambree', 'elizabethan ballad', 'santa fe', 'agnus deis', 'lady bath', 'golden city', 'lady hawkins', 'lady miranda', 'la guayra', 'queen elizabeth', 'mistress salterne']",40,"['gayferos', 'popery', 'kilkhampton', 'monoculus', 'baltinglas', 'welcombe', 'romanists', 'britons', 'groyne', 'ebsworthy', 'jesuits', 'atahuallpa', 'budaeus', 'colbrand', 'flushinger', 'orkneys', 'arcite', 'walsingham', 'ayacanora', 'naiads', 'guahibas', 'clovelly', 'lapithae', 'catholics', 'smerwick', 'stukelys', 'cimaroons', 'smithfield', 'guayquerias', 'stukely', 'bursdon', 'spaniards', 'haccombe', 'lutheran', 'ockment', 'omaguas', 'fortescue', 'fortescues', 'euphues', 'amalivaca']",male

1856_ballantyne-the-young-fur-traders,53,"['anderson', 'hugh', 'mike', 'hudson', 'louis', 'bruin', 'jacques', 'george', 'peter', 'tom', 'charley', 'baptiste', 'peterkin', 'pierre', 'antoine', 'joseph', 'francois', 'noah', 'hush', 'scotchman', 'tim', 'creator', 'hollo', 'robinson crusoe', 'mr conway', 'peter mactavish', 'stoney creek', 'harry somerville', 'hugh mathison', 'mr kennedy', 'fort garry', 'mr grant', 'mr seaforth', 'tom whyte', 'pastor conway', 'mr whyte', 'york fort', 'jacques caradoc', 'mister harry', 'mr charles', 'mike brady', 'charles kennedy', 'louis peltier', 'mr rogan', 'frank kennedy', 'lower fort garry', 'mr addison', 'louis blanc', 'mr wilson', 'old mr kennedy', 'charley kennedy', 'rocky mountains', 'mr hamilton']",9,"['annette', 'sieux', 'hammy', 'miss kate', 'poor kate', 'kate kennedy', 'miss kennedy', 'poor hamilton', 'miss cookumwell']",6,"['knisteneux', 'redfeather', 'chipewyan', 'wabisca', 'orkneyman', 'misconna']",male

1857_ballantyne-the-coral-island-a-tale-of-the-pacific-ocean,15,"['jack', 'gospel', 'mango', 'peterkin', 'creator', 'christianity', 'hercules', 'ralph', 'pacific', 'cape horn', 'saviour jesus christ', 'bloody bill', 'long tom', 'jack martin', 'ralph rover']",5,"['romata', 'mahine', 'avatea', 'rarotonga', 'diamond cave']",2,"['wesleyans', 'tararo']",male

1857_hughes-tom-browns-school-days,71,"['thomas', 'willum', 'christian', 'walker', 'devonshire', 'davis', 'warner', 'virgil', 'benjy', 'slogger', 'martin', 'pusey', 'shakespeare', 'momus', 'cooey', 'bogle', 'wratislaw', 'homer', 'alfred', 'robinson', 'johnson', 'peter', 'herbert', 'gray', 'tommy', 'tadpole', 'griffith', 'regulator', 'thorne', 'crab', 'flashman', 'dobbin', 'groove', 'swift', 'noah', 'jack', 'holmes', 'john', 'madman', 'harry', 'angel', 'diggs', 'naaman', 'geordie', 'jacob', 'jem', 'tennyson', 'ashdown', 'gower', 'toby', 'ridgeway', 'squire', 'harry winburn', 'toby philpot', 'mr aislabie', 'great western', 'master tom', 'squire brown', 'george arthur', 'billy taylor', 'farmer thompson', 'jacob dodson', 'mr benjamin', 'slogger williams', 'madam brown', 'joe willis', 'master joe', 'jack raggles', 'crab jones', 'farmer ives', 'tom brown']",14,"['easter', 'shannon', 'elisha', 'flashey', 'brooke', 'bailey', 'mary', 'snooks', 'sally', 'rachel', 'barby', 'helen', 'charity', 'sally harrowell']",6,"['hazeldown', 'wellesburn', 'velveteens', 'harkaway', 'blawing stwun', 'gaarge ridler']",male

1858_ballantyne-martin-rattler,25,"['bob', 'creator', 'til', 'sambo', 'martin', 'rio', 'baron', 'grampus', 'carreo', 'barney', 'redeemer', 'irishman', 'negro', 'mr jollyboy', 'minas geraes', 'mr carrymooroo', 'barney oflannagan', 'baron fagoni', 'mr arthur jollyboy', 'bob croaker', 'padre caramuru', 'john ward', 'senhor antonio', 'martin rattler', 'rio janeiro']",6,"['juiz', 'firefly', 'amazon', 'dorothy grumbit', 'aunt dorothy grumbit', 'aunt dorothy']",2,"['naygur', 'negroes']",male

1858_farrar-eric-or-little-by-little,40,"['duncan', 'macbeth', 'barker', 'john', 'eddy', 'georgic', 'gibson', 'owen', 'carter', 'cesar', 'roberts', 'montagu', 'graham', 'llewellyn', 'vernon', 'brigson', 'ayrton', 'charlie', 'homer', 'billy', 'monty', 'bull', 'shakspeare', 'horace', 'verny', 'edwin', 'jim', 'wright', 'owenite', 'walter rose', 'vernon williams', 'mr gordon', 'edwin russell', 'charles wildney', 'mr harley', 'eric williams', 'mr ready', 'maister davey', 'mr williams', 'mr lawley']",12,"['fanny', 'easter', 'ellan', 'roslyn', 'brie', 'brooking', 'pietrie', 'stormy petrel', 'avon glen', 'poor williams', 'jolly herring', 'poor eric']",10,"['fairholm', 'attlay', 'silverburn', 'starhaven', 'avonley', 'riverbend', 'charlesbury', 'coryphaeus', 'bombastes furioso', 'kibroth hattaavah']",male

1861_hughes-tom-brown-at-oxford,41,"['joe', 'kennington', 'sandford', 'grange', 'sanders', 'harry', 'jove', 'nibble', 'solomon', 'blake', 'raleigh', 'arthur', 'adam', 'david', 'jones', 'barton', 'umbala', 'simon', 'farley', 'higgs', 'henry', 'saunders', 'monsieur', 'harry winburn', 'wessex freeman', 'mr schloss', 'her majesty', 'albert gate', 'mr hardy', 'mr grey', 'mr east', 'eaton square', 'master tom', 'mr walker', 'master larry', 'harry east', 'van john', 'mr drysdale', 'rotten row', 'mr smith', 'mr brown']",8,"['patty', 'oriel', 'katie', 'gipsy', 'chanter', 'lady mary', 'miss winter', 'temple bar']",5,"['englebourn', 'lamentations', 'wurley', 'steventon', 'englebourn common']",male

