book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex

1835_sherwood-shanty-the-blacksmith-a-tale-of-other-times,5,"['laird', 'charles', 'jacob', 'mr salmon', 'mr dymock']",7,"['margaret', 'brindle', 'rachel', 'rebecca', 'shanty', 'tamar', 'providence']",1,['harefoot'],female

1839_sinclair-holiday-house-a-series-of-tales,36,"['evan', 'john', 'snap', 'darwin', 'charles', 'major', 'harrison', 'jack', 'christians', 'crabtree', 'lord nelson', 'mr frank', 'castle needless', 'sir edward', 'evan mackay', 'harry graham', 'sir edward graham', 'frank abercromby', 'major graham', 'robinson crusoe', 'peter grey', 'frank harry', 'lord rockville', 'uncle david', 'mr lexicon', 'master no', 'charles forrester', 'mr punctuality', 'tom thumb', 'master peter', 'captain digby', 'robert fordyce', 'sir timothy', 'mr harwood', 'old andrew', 'mr palmer']",10,"['mary', 'betty', 'nursery rhymes', 'lady graham', 'miss laura graham', 'lady harriet', 'lady rockville', 'lady harriet graham', 'miss laura', 'miss perceval']",2,"['canongate', 'ducrow']",female

1841_martineau-the-settlers-at-home,15,"['bishop', 'stephen', 'oliver', 'geordie', 'humber', 'spy', 'gool', 'roger', 'axholme', 'george', 'stephen redfurn', 'mr linacre', 'roger redfurn', 'saint mary', 'pastor dendel']",4,"['mildred', 'nan', 'nan redfurn', 'mrs linacre']",2,"['ailwin', 'sandtoft']",female

1850_sherwood-the-young-lord-and-other-tales-to-which-is-added-victorine-durocher,23,"['baronne', 'william', 'frank', 'seigneur', 'scripture', 'salency', 'grenoble', 'charles', 'arthur', 'baron', 'victorine', 'valmont', 'monsieur', 'basil', 'mr mannering', 'charles sidney', 'lord sereton', 'mr vernon', 'dorsain d', 'thomas bennett', 'monsieur delsac', 'monsieur le prieur', 'uncle dorsain']",20,"['harriet', 'mary', 'mimi', 'rosieres', 'peggy', 'madame', 'pauline', 'felicie', 'margoton', 'lisette', 'rosiere', 'delphine', 'margoton durocher', 'felicie durand', 'madame goton', 'madame durocher', 'dearest caliste', 'harriet mannering', 'madame delsac', 'te deum']",1,['salenciens'],female

1851_hall-turns-of-fortune-and.other-tales,13,"['john', 'edward', 'mr cramp', 'john adams', 'mr stokes', 'edward lynne', 'mr ivers', 'edwin lechmere', 'alfred bond', 'charles adams', 'jacob bond', 'mr lycight', 'mr goulding']",12,"['mary', 'rosa', 'helen', 'mabel', 'sarah', 'mrs adams', 'rose dillon', 'miss rose', 'mary adams', 'mary charles', 'helen marsh', 'sarah bond']",1,['adamses'],female
